"","country","casualty","incidence","Abortion Related","Airports & Aircraft","Business","Educational Institution","Food or Water Supply","Government (Diplomatic)","Government (General)","Journalists & Media","Maritime","Military","NGO","Other","Police","Private Citizens & Property","Religious Figures/Institutions","Telecommunication","Terrorists/Non-State Militia","Tourists","Transportation","Unknown","Utilities","Violent Political Party"
"143","South Sudan",2345,111,0,0,29,0,0,243,35,1,0,620,8,7,7,693,689,0,0,0,8,0,5,5
"144","Spain",2873,669,0,35,172,21,0,0,206,10,0,79,0,0,248,89,0,0,0,9,1992,12,0,0
"145","Sri Lanka",16042,1265,0,23,2177,101,2,25,1216,35,106,4842,55,0,1710,2817,272,2,172,10,2133,157,16,171
"146","St. Kitts and Nevis",9,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","St. Lucia",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14
"148","Sudan",5116,634,0,0,276,15,1,246,113,2,0,826,47,158,237,2943,95,0,69,30,45,13,0,0
"149","Suriname",2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"150","Swaziland",3,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Sweden",20,62,0,0,1,5,0,0,1,2,0,0,0,4,3,3,0,0,0,0,0,1,0,1
"152","Switzerland",40,27,0,0,2,0,0,1,32,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2
"153","Syria",19741,1326,0,1,1213,702,0,130,1242,79,0,6633,42,147,1179,6324,726,0,848,0,406,26,40,3
"154","Taiwan",35,17,0,0,0,20,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"155","Tajikistan",485,136,0,0,26,1,22,5,46,7,0,137,8,0,110,25,83,0,2,0,12,1,0,0
"156","Tanzania",289,46,0,0,23,2,0,159,5,2,0,0,0,2,18,56,13,0,0,0,9,0,0,0
"157","Thailand",8707,3171,0,25,1929,322,4,2,632,10,7,1440,1,94,1107,2362,336,26,12,0,250,92,56,0
"158","Togo",3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"159","Trinidad and Tobago",21,14,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,1,0,3,0,0,3
"160","Tunisia",501,81,0,0,77,0,0,0,7,0,0,185,0,0,77,7,82,0,0,66,0,0,0,0
"161","Turkey",6381,1431,0,7,707,63,0,270,539,37,0,1455,8,0,1088,1464,327,4,29,79,226,26,51,1
"162","Turkmenistan",6,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
"163","Uganda",3182,252,0,11,374,57,0,3,14,0,0,152,46,406,103,1753,29,0,0,20,200,1,13,0
"164","Ukraine",5105,1570,0,339,122,29,6,4,136,29,0,3222,4,42,129,836,17,0,65,0,114,9,2,0
"165","United Arab Emirates",3,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","United Kingdom",2166,1101,0,3,183,3,0,0,32,2,0,84,0,0,207,759,8,0,31,0,843,10,0,1
"167","United States",4955,555,27,14,196,47,0,0,1202,18,0,55,1,0,16,3244,43,0,0,8,79,4,1,0
"168","Uruguay",1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Uzbekistan",264,19,0,0,23,0,0,8,52,0,0,0,0,0,103,72,0,0,0,0,6,0,0,6
"170","Vanuatu",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Venezuela",98,102,0,0,1,8,0,4,29,0,0,19,0,0,7,14,1,0,0,0,15,0,0,0
"172","Vietnam",7,8,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","West Bank and Gaza Strip",2761,1192,0,0,94,276,0,12,85,15,0,570,0,3,234,998,30,0,113,3,238,74,3,13
"174","Western Sahara",3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"175","Yemen",14205,2549,0,23,496,83,0,100,1232,83,154,4942,18,9,932,3245,1123,0,848,45,116,65,39,652
"176","Yugoslavia",328,163,0,0,57,2,0,0,21,2,0,16,0,2,110,108,1,0,0,0,5,4,0,4
"177","Zaire",408,24,0,2,40,0,0,3,1,0,0,5,75,35,0,146,59,0,0,7,35,0,0,35
"178","Zambia",10,21,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Zimbabwe",95,28,0,0,1,0,0,0,9,0,0,0,0,0,0,16,54,0,0,0,0,0,0,15
